index,from,url,header
40,apnews,https://apnews.com//article/cannes-film-festival-entertainment-france-woody-harrelson-4f7cff5cc84170c8d81dae0c0153de23,'Triangle of Sadness': Biting social satire delights Cannes
41,apnews,https://apnews.com//article/entertainment-melanie-brown-celebrity-birthdays-justin-chon-5fa1e891ff4de5485a2a69833d2156cf,Celebrity birthdays for the week of May 29-June 4
42,apnews,https://apnews.com//article/cannes-film-festival-politics-entertainment-eastern-europe-8f9957b3d488abf5fa61facf01f8ff71,Cannes: Transylvania-set 'R.M.N.' probes a ubiquitous crisis
43,apnews,https://apnews.com//article/russia-ukraine-putin-switzerland-government-and-politics-2019b1448217f57e68d2b18b6727bf99,Russian diplomat to UN in Geneva resigns over war in Ukraine
44,apnews,https://apnews.com//article/russia-ukraine-united-nations-migration-0b0e02e27948b5d61e5eb314c459590f,UN refugee agency: Number of displaced tops 100 million
45,apnews,https://apnews.com//article/russia-ukraine-biden-asia-united-states-c6878c7d14112e45a870a3e8735f7e71,"Biden launches Indo-Pacific trade deal, warns over inflation"
46,apnews,https://apnews.com//article/health-world-organization-united-nations-animals-72a9efaaf5b55ace396398b839847505,Expert: Monkeypox likely spread by sex at 2 raves in Europe
47,apnews,https://apnews.com//article/arizona-nebraska-tucson-lincoln-e23282f8cd82d17926999c17b4c27d65,Pool noodle fight over the name Josh again attracts hundreds
48,apnews,https://apnews.com//article/science-oddities-minnesota-minneapolis-native-americans-d4722c10440e2e6ef074299c3f3fdb99,"Nearly 8,000-year-old skull found in Minnesota River"
49,apnews,https://apnews.com//article/oddities-dfd668013ccc91d44b3fc01f2ed98e41,German farm owner saves fuel money with horse-drawn carriage
50,apnews,https://apnews.com//article/politics-travel-greece-museums-5e81f76d35ee07822f1de383f86448c2,"After string of adventures, ancient gold ring back in Greece"
51,apnews,https://apnews.com//article/dallas-mavericks-golden-state-warriors-nba-sports-klay-thompson-2f6a0c58ab25f6512ffe1f090224f272,"Wiggins, Warriors dunk Mavericks 109-100 for 3-0 series lead"
52,apnews,https://apnews.com//article/nhl-sports-steven-stamkos-nikita-kucherov-corey-perry-dc401e9375eba7f9b299bada0f03db59,"Stamkos, Kucherov lead Lightning past Panthers 5-1 in Game 3"
53,apnews,https://apnews.com//article/sports-scott-dixon-indianapolis-indiana-500-b1d71c2804d881d1e34812814ce84d1a,Scott Dixon blazes to Indy 500 pole in record 234 mph run
54,apnews,https://apnews.com//article/french-open-novak-djokovic-rafael-nadal-naomi-osaka-sports-0bc0f05d51262636625db137c7f6ce04,French Open updates | Osaka considers skipping Wimbledon
55,apnews,https://apnews.com//article/covid-health-north-korea-south-government-and-politics-58427657c86efd410069c2426b07576b,"Kim, other N. Koreans attend large funeral amid COVID worry"
56,apnews,https://apnews.com//article/biden-covid-politics-health-united-states-2e5ba9c704ac7e347c73e8a4def2c90c,Court ruling extends uneven treatment for asylum-seekers
57,apnews,https://apnews.com//article/boris-johnson-covid-health-government-and-politics-4bd1bec7832d17263da31849b97be86d,UK's Boris Johnson awaits judgment of 'partygate' report
58,apnews,https://apnews.com//article/russia-ukraine-world-economic-forum-climate-zelenskyy-health-f149534c73a6166556ab7533b611b243,Zelenskyy urges 'maximum' sanctions on Russia in Davos talk
59,apnews,https://apnews.com//article/climate-ouagadougou-politics-middle-east-57208ec04f9413fb06b181e9183d7cdd,"Security concerns, lack of support stall Africa's Green Wall"
60,apnews,https://apnews.com//article/biden-scott-morrison-tokyo-australia-df265e86e39213693f7972865258916f,Albanese sworn in as PM in Australia ahead of Tokyo summit
